año;razon_social;rut_razon_social;nombre_establecimiento;id_vu;ciiu4;id_ciiu4;rubro_vu;id_rubro_vu;region;provincia;comuna;id_comuna;latitud;longitud;cantidad_toneladas;contaminantes;id_contaminantes ;ducto;norma
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;34,573;Aceites y grasas;2;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;7,047561774;Aluminio;5;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;0,054962757;Arsénico;6;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;6,647513619;Boro;11;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;0,035269299;Cadmio;14;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;0,646096334;Cianuro;18;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;964,346;Cloruros;23;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;1,308104553;Cobre;24;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;0,323048167;Cromo hexavalente;36;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;8,98651813;Fluoruros;52;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;3,507;Fósforo Total;53;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;34,519;Hidrocarburos fijos;59;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;3,889786629;Hierro / hierro disuelto;64;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;0,064609633;Índice de fenol;65;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;1,883597749;Manganeso;66;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;0,008760553;Mercurio;67;687;DS90/2000 del MINSEGPRES
2018;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;Extracción y procesamiento de cobre;B0400;Minería;4;Valparaíso;Los Andes;Los Andes;5301;-32,92610542;-70,28726234;4,697262525;Molibdeno;72;687;DS90/2000 del MINSEGPRES
