año;razon_social;rut_razon_social;nombre_establecimiento;id_vu;ciiu4;id_ciiu4;ciiu6;id_ciiu6;rubro_vu;id_rubro_vu;region;provincia;comuna;id_comuna;latitud;longitud;cantidad_toneladas;contaminantes;id_contaminantes ;ducto;norma
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,025949;Aceites y grasas;2;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,004068185;Aluminio;5;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,000576763;Arsénico;6;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,0000311;Cadmio;14;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,00051898;Cianuro;18;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,001026531;Cobre;24;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,00025949;Cromo hexavalente;36;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,011544335;Fósforo Total;53;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,025949;Hidrocarburos fijos;59;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,003815518;Hierro / hierro disuelto;64;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,0000519;Índice de fenol;65;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,000379624;Manganeso;66;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,00998591;Molibdeno;72;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,00037708;Níquel;75;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,05071572;Nitrógeno Total Kjeldahl;78;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,0000259;Pentaclorofenol / PCP;81;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,00052052;Plomo;84;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,000129745;Selenio;99;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,162778;Sólidos suspendidos totales;101;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;16,883647;Sulfatos;106;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,0025949;Sulfuros;107;313;DS90/2000 del MINSEGPRES
2019;ACEROS AZA S.A.;92176000-0;PLANTA COLINA;4989;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;Otras industrias manufactureras;10;Metropolitana ;Chacabuco;Colina;13301;-33,29580495;-70,72876759;0,002324256;Zinc;120;313;DS90/2000 del MINSEGPRES
2019;ACONCAGUA FOODS S.A.;76099789-7;ACONCAGUA FOODS S.A;4587176;Elaboración y conservación de frutas, legumbres y hortalizas;C1030;Elaboración y conservación de frutas, legumbres y hortalizas;C103000;Otras industrias manufactureras;10;Metropolitana ;Maipo;Buin;13402;-33,73474579;-70,73084161;0,5815612;Aceites y grasas;2;290;DS90/2000 del MINSEGPRES
2019;ACONCAGUA FOODS S.A.;76099789-7;ACONCAGUA FOODS S.A;4587176;Elaboración y conservación de frutas, legumbres y hortalizas;C1030;Elaboración y conservación de frutas, legumbres y hortalizas;C103000;Otras industrias manufactureras;10;Metropolitana ;Maipo;Buin;13402;-33,73474579;-70,73084161;168,991328;Cloruros;23;290;DS90/2000 del MINSEGPRES
2019;ACONCAGUA FOODS S.A.;76099789-7;ACONCAGUA FOODS S.A;4587176;Elaboración y conservación de frutas, legumbres y hortalizas;C1030;Elaboración y conservación de frutas, legumbres y hortalizas;C103000;Otras industrias manufactureras;10;Metropolitana ;Maipo;Buin;13402;-33,73474579;-70,73084161;0,511298563;Fósforo Total;53;290;DS90/2000 del MINSEGPRES
2019;ACONCAGUA FOODS S.A.;76099789-7;ACONCAGUA FOODS S.A;4587176;Elaboración y conservación de frutas, legumbres y hortalizas;C1030;Elaboración y conservación de frutas, legumbres y hortalizas;C103000;Otras industrias manufactureras;10;Metropolitana ;Maipo;Buin;13402;-33,73474579;-70,73084161;0,57255;Hidrocarburos fijos;59;290;DS90/2000 del MINSEGPRES
2019;ACONCAGUA FOODS S.A.;76099789-7;ACONCAGUA FOODS S.A;4587176;Elaboración y conservación de frutas, legumbres y hortalizas;C1030;Elaboración y conservación de frutas, legumbres y hortalizas;C103000;Otras industrias manufactureras;10;Metropolitana ;Maipo;Buin;13402;-33,73474579;-70,73084161;1,58715205;Nitrógeno Total Kjeldahl;78;290;DS90/2000 del MINSEGPRES
