año;razon_social;rut_razon_social;nombre_establecimiento;id_vu;ciiu4;id_ciiu4;ciiu6;id_ciiu6;rubro_vu;id_rubro_vu;region;provincia;comuna;id_comuna;latitud;longitud;cantidad_toneladas;contaminantes;id_contaminantes ;ducto;norma;nombre_ducto;tabla;origen
2021;GUACOLDA ENERGIA S.A;76418918-3;GUACOLDA;6638;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Atacama;Huasco;Huasco;3304;-28,46860974;-71,25437653;311995,5358;Cloruros;23;21;DS 90;UNIDAD 3;Tabla 4;SMA
2021;E.CL S.A.;88006900-4;CENTRAL TERMICA TOCOPILLA;5441787;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Antofagasta;Tocopilla;Tocopilla;2301;-22,09607305;-70,21390995;266511,3839;Cloruros;23;57;DS 90;UNIDAD.16;Tabla 4;SMA
2021;GUACOLDA ENERGIA S.A;76418918-3;GUACOLDA;6638;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Atacama;Huasco;Huasco;3304;-28,46860974;-71,25437653;176517,8057;Cloruros;23;20;DS 90;UNIDAD 2;Tabla 4;SMA
2021;GUACOLDA ENERGIA S.A;76418918-3;GUACOLDA;6638;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Atacama;Huasco;Huasco;3304;-28,46860974;-71,25437653;135453,3206;Cloruros;23;19;DS 90;UNIDAD 1;Tabla 4;SMA
2021;SEAFOOD RESOURCES CHILE S A;96656530-6;SRC;5441806;Construcción de edificios para uso residencial y no residencial;F4100;Construcción de edificios para uso residencial;F410010;Construcción;16;Valparaíso;Petorca;La Ligua;5401;-32,25036927;-71,48638688;115996,0626;Cloruros;23;80;DS 90;SR.MOLLES;Tabla 4;SMA
2021;ENEL GENERACION CHILE S.A.;91081000-6;CENTRAL TERMOELECTRICA BOCAMINA U1;5441923;Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería;M7210;Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería;M721000;Otras actividades;20;Biobío;Concepción;Coronel;8102;-37,02113521;-73,16567023;104828,7389;Sulfatos;106;819;DS 90;BOCAMINA II. PTO. BAHÍA CORONEL;Tabla 4;SMA
2021;E.CL S.A.;88006900-4;CENTRAL TERMICA TOCOPILLA;5441787;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Antofagasta;Tocopilla;Tocopilla;2301;-22,09607305;-70,21390995;100592,1934;Cloruros;23;55;DS 90;UNIDAD.10.11.14.15;Tabla 4;SMA
2021;METHANEX CHILE SA;76030472-7;METHANEX CHILE S.A.;5441884;"Curtido y adobo de cueros; adobo y teñido de pieles";C1511;"Curtido y adobo de cueros; adobo y teñido de pieles";C151100;Otras industrias manufactureras;10;Magallanes y de la Antártica Chilena;Magallanes;Punta Arenas;12101;-52,94028404;-70,81235468;85476,34788;Cloruros;23;160;DS 90;METHANEX.1;Tabla 5;SMA
2021;GRANJA MARINA TORNAGALEONES S A;87752000-5;PISCICULTURA DE RECIRCULACION RÍO UNIÓN;4585876;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Aysén del Gral. Carlos Ibañez del Campo;Aysén;Cisnes;11202;-44,43703069;-72,56695372;82901,17406;Cloruros;23;634;DS 90;PUNTO 1 RIO LA UNION;Tabla 1;SMA
2021;MINERA ESCONDIDA LIMITADA;79587210-8;PUNTA COLOSO 0;64565;Extracción y procesamiento de cobre;B0400;Extracción y procesamiento de cobre;B040000;Minería;4;Antofagasta;Antofagasta;Antofagasta;2101;-23,7663051;-70,47266681;59198,9957;Sulfatos;106;65;DS 90;PUNTO 1 COLOSO;Tabla 5;SMA
2021;GUACOLDA ENERGIA S.A;76418918-3;GUACOLDA;6638;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Atacama;Huasco;Huasco;3304;-28,46860974;-71,25437653;39840,12595;Sulfatos;106;21;DS 90;UNIDAD 3;Tabla 4;SMA
2021;CORP NACIONAL DEL COBRE DE CHILE;61704000-K;CODELCO CHILE DIVISION EL TENIENTE ALHUE;4590502;Extracción y procesamiento de cobre;B0400;Extracción y procesamiento de cobre;B040000;Minería;4;Metropolitana de Santiago;Melipilla;Alhué;13502;-34,09258705;-71,18903008;38215,20384;Sulfatos;106;238;DS 90;Aguas Claras Embalse Caren;Tabla 1;SMA
2021;E.CL S.A.;88006900-4;CENTRAL TERMICA TOCOPILLA;5441787;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Antofagasta;Tocopilla;Tocopilla;2301;-22,09607305;-70,21390995;30591,74646;Sulfatos;106;57;DS 90;UNIDAD.16;Tabla 4;SMA
2021;SALMONES MULTIEXPORT S.A.;79891160-0;PISCICULTURA CHAPARANO;322575;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Lagos;Llanquihue;Cochamó;10103;-41,74732195;-72,57045674;18896,20397;Cloruros;23;583;DS 90;PUNTO 1 CON DILUCION;Tabla 2;SMA
2021;EMPRESA ELECTRICA ANGAMOS S.A.;76004976-K;CENTRAL TERMOELÉCTRICA ANGAMOS;5452292;Elaboración de bebidas malteadas y de malta;C1103;Elaboración de bebidas malteadas y de malta;C110300;Otras industrias manufactureras;10;Antofagasta;Antofagasta;Mejillones;2102;-23,06858082;-70,3687702;18369,19847;Sulfatos;106;51;DS 90;T.ANGAMOS;Tabla 4;SMA
2021;MINERA ESCONDIDA LIMITADA;79587210-8;PUNTA COLOSO 0;64565;Extracción y procesamiento de cobre;B0400;Extracción y procesamiento de cobre;B040000;Minería;4;Antofagasta;Antofagasta;Antofagasta;2101;-23,7663051;-70,47266681;15467,45041;Cloruros;23;65;DS 90;PUNTO 1 COLOSO;Tabla 5;SMA
2021;CORPESCA S A;96893820-7;PLANTA SUR;3478;Elaboración y conservación de pescado, crustáceos y moluscos;C1020;Producción de harina de pescado;C102010;Otras industrias manufactureras;10;Tarapacá;Iquique;Iquique;1101;-20,20357391;-70,14097685;13145,49773;Cloruros;23;215;DS 90;PLANTA.CORPESCA.SUR;Tabla 5;SMA
2021;E.CL S.A.;88006900-4;CENTRAL TERMICA TOCOPILLA;5441787;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;Termoeléctricas;11;Antofagasta;Tocopilla;Tocopilla;2301;-22,09607305;-70,21390995;12594,91006;Sulfatos;106;55;DS 90;UNIDAD.10.11.14.15;Tabla 4;SMA
2021;MINERA CENTINELA;76727040-2;MUELLE CENTINELA;3489349;Extracción y procesamiento de cobre;B0400;Extracción y procesamiento de cobre;B040000;Minería;4;Antofagasta;Antofagasta;Mejillones;2102;-22,80316441;-70,31200761;12559,85518;Cloruros;23;66;DS 90;MICHILLA;Tabla 5;SMA
