año;razon_social;rut_razon_social;nombre_establecimiento;id_vu;ciiu4;id_ciiu4;ciiu6;id_ciiu6;rubro_vu;id_rubro_vu;region;provincia;comuna_;id_comuna;latitud;longitud;cantidad_toneladas;contaminantes;id_contaminantes;ducto;norma;nombre_ducto;tabla;origen
2023;PISCICULTURA NILAHUE SPA;96924560-4;PISCICULTURA NILAHUE;5453624;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Ríos;Ranco;Lago Ranco;14203;-40,39155;-72,08132;0,00189;Cadmio;5;797;DS 90;PUNTO 1 RIO NILAHUE;Tabla 3;SMA
2023;SOC FUNDO LA CASCADA Y CIA LIMITADA;89288400-5;PISCICULTURA LOS CHILCOS;5452762;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Cautín;Villarrica;9120;-39,30555;-72,14913;0,02778;Estaño;14;839;DS 90;DESCARGA 2 ORILLA OESTE ESTERO LOS CHILCOS;Tabla 3;SMA
2023;CELULOSA ARAUCO Y CONSTITUCION S A;93458000-1;NUEVA ALDEA;85017;Fabricación de pasta de madera, papel y cartón;C1701;Fabricación de celulosa y otras pastas de madera;C170110;Industria del papel y celulosa;5;Ñuble;Itata;Ránquil;16206;-36,65991;-72,47192;0,00347;Pentaclorofenol;28;445;DS 90;RIO ITATA (CONTINGENCIAS);Tabla 1;SMA
2023;CERMAQ CHILE S.A.;79784980-4;PISCICULTURA TRAFÚN;5032439;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Lagos;Osorno;San Pablo;10307;-40,41240;-73,01257;0,00193;Tolueno;40;749;DS 90;PUNTO 1. RIO PILMAIQUEN;Tabla 1;SMA
2023;MOWI CHILE S.A.;96633780-K;PISCICULTURA COPIHUE;5458663;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Lagos;Llanquihue;Puerto Varas;10109;-41,25460;-72,68709;8,52724;Aceites y Grasas;1;608;DS 90;DESCARGA 1 PUNTO RÍO COPÍHUE;Tabla 3;SMA
2023;PROCESADORA CAILIN SPA;78512930-K;PLANTA PROCESO HUENOCOIHUE;2884;Acuicultura marina;A0321;Servicios relacionados con la acuicultura marina;A032140;Pesca y acuicultura;3;Los Lagos;Chiloé;Dalcahue;10205;-42,38162;-73,66468;0,87959;Aceites y Grasas;1;13;DS 90;P.HUEÑO;Tabla 5;SMA
2023;BLUMAR S.A.;80860400-0;BLUMAR SAN VICENTE;5441921;Elaboración y conservación de pescado, crustáceos y moluscos;C1020;Producción de harina de pescado;C102010;Otras industrias manufactureras;10;Biobío;Concepción;Talcahuano;8110;-36,72463;-73,13008;0,02467;Cobre;8;194;DS 90;BLUMAR.SVIC;Tabla 4;SMA
2023;PISCICULTURA NILAHUE SPA;96924560-4;PISCICULTURA NILAHUE;5453624;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Los Ríos;Ranco;Lago Ranco;14203;-40,39155;-72,08132;0,14751;Zinc;43;797;DS 90;PUNTO 1 RIO NILAHUE;Tabla 3;SMA
2023;EXPORTADORA LOS FIORDOS LIMITADA;79872420-7;PISCICULTURA CURARREHUE (90116);5442607;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Cautín;Curarrehue;9104;-39,37707;-71,68675;0,11330;Estaño;14;492;DS 90;PUNTO 1 ESTERO HUILILCO (Riles);Tabla 3;SMA
2023;SOC FUNDO LA CASCADA Y CIA LIMITADA;89288400-5;PISCICULTURA LA CASCADA;5452761;Acuicultura de agua dulce;A0322;Acuicultura de agua dulce;A032200;Pesca y acuicultura;3;Araucanía;Cautín;Villarrica;9120;-39,29532;-72,16939;0,00100;Molibdeno;24;840;DS 90;PUNTO 1 DESCARGA ESTERO ATRAVESADO;Tabla 3;SMA
