año,id_vu,razon_social,rut_razon_social,nombre_establecimiento,ciiu4,ciiu4_id,ciiu6,ciiu6_id,rubro,rubro_id,region,provincia,comuna,codigo_unico_territorial,latitud,longitud,ducto,ducto_nombre,contaminante,contaminante_id,emision_total,norma,tabla,origen
2024,152,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO,Extracción y procesamiento de cobre,B04000,Extracción y procesamiento de cobre,B040000,Minería,4,Valparaíso,Los Andes,Los Andes,5301,-32.92610542488,-70.287262342768,687,"PUNTO 1 PPC, RIO BLANCO, SALADILLO",Aceites y Grasas,1,4.574636638,DS 90,Tabla 1,SMA
2024,152,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO,Extracción y procesamiento de cobre,B04000,Extracción y procesamiento de cobre,B040000,Minería,4,Valparaíso,Los Andes,Los Andes,5301,-32.92610542488,-70.287262342768,687,"PUNTO 1 PPC, RIO BLANCO, SALADILLO",Aluminio,2,0.35616309982,DS 90,Tabla 1,SMA
2024,152,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO,Extracción y procesamiento de cobre,B04000,Extracción y procesamiento de cobre,B040000,Minería,4,Valparaíso,Los Andes,Los Andes,5301,-32.92610542488,-70.287262342768,687,"PUNTO 1 PPC, RIO BLANCO, SALADILLO",Arsénico,3,0.00591344776,DS 90,Tabla 1,SMA
2024,152,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO,Extracción y procesamiento de cobre,B04000,Extracción y procesamiento de cobre,B040000,Minería,4,Valparaíso,Los Andes,Los Andes,5301,-32.92610542488,-70.287262342768,687,"PUNTO 1 PPC, RIO BLANCO, SALADILLO",Boro,4,0.39229127894,DS 90,Tabla 1,SMA
2024,152,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO,Extracción y procesamiento de cobre,B04000,Extracción y procesamiento de cobre,B040000,Minería,4,Valparaíso,Los Andes,Los Andes,5301,-32.92610542488,-70.287262342768,687,"PUNTO 1 PPC, RIO BLANCO, SALADILLO",Cadmio,5,0.00437965396,DS 90,Tabla 1,SMA
2024,152,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO,Extracción y procesamiento de cobre,B04000,Extracción y procesamiento de cobre,B040000,Minería,4,Valparaíso,Los Andes,Los Andes,5301,-32.92610542488,-70.287262342768,687,"PUNTO 1 PPC, RIO BLANCO, SALADILLO",Cianuro,6,0.0437965396,DS 90,Tabla 1,SMA
2024,152,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO,Extracción y procesamiento de cobre,B04000,Extracción y procesamiento de cobre,B040000,Minería,4,Valparaíso,Los Andes,Los Andes,5301,-32.92610542488,-70.287262342768,687,"PUNTO 1 PPC, RIO BLANCO, SALADILLO",Cloruros,7,585.409088748,DS 90,Tabla 1,SMA
2024,152,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO,Extracción y procesamiento de cobre,B04000,Extracción y procesamiento de cobre,B040000,Minería,4,Valparaíso,Los Andes,Los Andes,5301,-32.92610542488,-70.287262342768,687,"PUNTO 1 PPC, RIO BLANCO, SALADILLO",Cobre,8,0.7120181233,DS 90,Tabla 1,SMA
2024,152,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO,Extracción y procesamiento de cobre,B04000,Extracción y procesamiento de cobre,B040000,Minería,4,Valparaíso,Los Andes,Los Andes,5301,-32.92610542488,-70.287262342768,687,"PUNTO 1 PPC, RIO BLANCO, SALADILLO",Cromo Hexavalente,11,0.0218982698,DS 90,Tabla 1,SMA
2024,152,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO,Extracción y procesamiento de cobre,B04000,Extracción y procesamiento de cobre,B040000,Minería,4,Valparaíso,Los Andes,Los Andes,5301,-32.92610542488,-70.287262342768,687,"PUNTO 1 PPC, RIO BLANCO, SALADILLO",Fluoruro,15,0.6494938868,DS 90,Tabla 1,SMA
